square,model,day,MAE,RMSE,MAPE_%,WAPE_%
5161,SARIMAX,2013-12-16,68.12831228779531,101.52153372298821,6.692591855440121,5.6719689976405006
5161,SARIMAX,2013-12-17,83.34645277405987,127.6210488243167,7.0222441036210155,5.581977733595113
5161,SARIMAX,2013-12-18,85.21284207820571,123.58184127783838,8.335337704979572,5.917400286503734
5161,SARIMAX,2013-12-19,64.4282382484407,100.50403132782137,6.833196700663125,5.187773829978797
5161,SARIMAX,2013-12-20,66.06463698464627,98.72679416731087,6.592714618967772,4.939612670560697
5161,SARIMAX,2013-12-21,82.93487898640144,126.79576504423768,7.778426424162725,4.756585405594122
5161,SARIMAX,2013-12-22,92.54695807281524,141.86435216357768,8.682583019971393,5.579217796450844
5161,LSTM,2013-12-16,81.95905892765273,130.0817811460597,7.885320780841504,6.823436919289649
5161,LSTM,2013-12-17,125.03574173382496,195.70245588959267,8.423601391463745,8.374042362112187
5161,LSTM,2013-12-18,99.49999117910258,151.38535830182246,9.822416119801408,6.909536895506611
5161,LSTM,2013-12-19,86.64117003100239,130.2459317600473,10.064063668146346,6.9763632640763005
5161,LSTM,2013-12-20,89.96642329640281,125.94731518284438,9.857637826592608,6.7267346756664805
5161,LSTM,2013-12-21,146.068447773273,219.8203108593532,11.25962881108406,8.37750118391153
5161,LSTM,2013-12-22,140.62731768213337,210.2398903245166,13.298101307363138,8.477754966964936
5161,TCN,2013-12-16,81.5053255247118,119.57339239259467,9.226186404036106,6.785661702081811
5161,TCN,2013-12-17,167.66830113858686,273.7930628812359,10.45658556769104,11.229280820414242
5161,TCN,2013-12-18,106.48774315010596,149.69545030117757,9.726475175762388,7.394784476819335
5161,TCN,2013-12-19,106.88936699150636,150.41882822445487,12.580610738287701,8.60675188173342
5161,TCN,2013-12-20,81.15597560110251,114.001874456835,9.996837344189156,6.0679828675072685
5161,TCN,2013-12-21,153.17094359994607,232.20814407864694,12.42725730081427,8.784852450415285
5161,TCN,2013-12-22,124.09874766009762,182.22949532327758,12.283663449528657,7.481325760245134
5059,SARIMAX,2013-12-16,68.57104713985174,90.78074245198977,6.857405716123995,5.057026532333017
5059,SARIMAX,2013-12-17,83.27077356978099,116.10214136019152,6.679702688558558,5.813911527629754
5059,SARIMAX,2013-12-18,56.88225868951564,85.7540270840968,4.661780555846476,4.017597700990328
5059,SARIMAX,2013-12-19,57.443421369923676,80.06696637491324,5.24491488291579,4.5867009786457755
5059,SARIMAX,2013-12-20,73.4271925641637,108.76950075736761,6.797007874625985,5.768648476352685
5059,SARIMAX,2013-12-21,61.72685389398186,87.53785484096825,6.437591671355815,5.293950950617582
5059,SARIMAX,2013-12-22,59.066092697813296,90.41688060319814,7.124878928261413,6.134897241416956
5059,LSTM,2013-12-16,91.1968313586734,124.43275203177762,7.945098949361146,6.725649017797808
5059,LSTM,2013-12-17,91.4366041955147,134.76783391550103,7.174863362407365,6.3840445379570925
5059,LSTM,2013-12-18,83.27525165513744,117.2045517646099,7.287514279732456,5.881736543291265
5059,LSTM,2013-12-19,100.31716117473718,135.48534522100073,8.335617559843183,8.010052506657376
5059,LSTM,2013-12-20,107.98894425402878,149.87574910822224,9.646821659428301,8.483917701055757
5059,LSTM,2013-12-21,111.71402405792082,153.14644192681257,11.364085346827107,9.581057943994868
5059,LSTM,2013-12-22,107.35562494802011,153.2650679411669,13.670123578607226,11.150487483804472
5059,TCN,2013-12-16,91.55722969826778,125.85446799409559,8.855978575797991,6.752227931808271
5059,TCN,2013-12-17,94.4910522783536,133.4546330685501,7.615812910240859,6.597304126622763
5059,TCN,2013-12-18,91.45825305242624,130.3110461984787,7.419298791125094,6.459702474292661
5059,TCN,2013-12-19,105.10570785472129,138.11315554005768,9.561683076185329,8.39240493657155
5059,TCN,2013-12-20,105.70179766368341,139.00509191311323,11.150217697383653,8.30423297891332
5059,TCN,2013-12-21,80.17558089598086,112.79244896485127,8.1141770610031,6.8761902790250025
5059,TCN,2013-12-22,71.64059380398834,103.40445398910613,9.149042112521848,7.440947271560963
5259,SARIMAX,2013-12-16,76.9605984608572,113.22871093698788,6.149696812049094,5.017887259878797
5259,SARIMAX,2013-12-17,80.47318212431531,110.91689553465933,5.989956275084447,4.6381957398556395
5259,SARIMAX,2013-12-18,79.49723574792134,103.2580286710128,5.982861167561896,4.768389418050717
5259,SARIMAX,2013-12-19,82.45377494251959,119.76831006759005,6.4424248114042,5.341971505428877
5259,SARIMAX,2013-12-20,76.08425927320546,103.20553898998732,6.657181904457516,5.091579843812425
5259,SARIMAX,2013-12-21,39.03363187637485,49.039269779972614,9.37255971366493,8.974512700848653
5259,SARIMAX,2013-12-22,40.53585099237294,60.5655827294127,9.333911518276878,9.068030042114772
5259,LSTM,2013-12-16,80.3175926408155,115.28103040223553,6.075911681121651,5.236765733591128
5259,LSTM,2013-12-17,75.24769369831682,108.18725937399098,5.497106681495241,4.337016669806068
5259,LSTM,2013-12-18,79.65940207916725,108.04416177973317,5.47069417369768,4.778116450828675
5259,LSTM,2013-12-19,95.86765921103421,138.46850501824142,7.159121083640124,6.211023135745128
5259,LSTM,2013-12-20,83.60320799455864,112.46943773540303,7.92552754491903,5.594749988622959
5259,LSTM,2013-12-21,49.505471582972774,68.2057546109435,11.595826144637854,11.382171274505376
5259,LSTM,2013-12-22,38.924860682464995,54.40384670886531,8.896791728948422,8.707645144051334
5259,TCN,2013-12-16,70.22220728355472,101.86160616406555,5.903953768717299,4.578539230927813
5259,TCN,2013-12-17,77.08050864190963,111.3410895365817,5.826850430336285,4.442653780690829
5259,TCN,2013-12-18,86.18337665403436,118.42342934269365,6.214597699186365,5.169436363197347
5259,TCN,2013-12-19,82.07479877435915,113.50658670573803,7.270087703636843,5.3174185981428135
5259,TCN,2013-12-20,79.28059437097701,103.88998066716154,8.049719043791075,5.305479479733769
5259,TCN,2013-12-21,61.143286155361615,80.25341774366655,14.548810948535928,14.05790780398881
5259,TCN,2013-12-22,44.62915255017608,63.07226540512388,10.23495119305082,9.983717775044767
