square_id,total_internet
1,92992.664
2,93368.39
3,93768.33
4,91904.38
5,83630.695
6,93768.33
7,93768.33
8,93768.33
9,93768.33
10,56177.723
11,29643.678
12,21867.787
13,13538.531
14,21478.096
15,22429.4
16,26981.52
17,32421.145
18,32421.17
19,32423.482
20,32424.479
21,32434.816
22,32448.543
23,34524.625
24,49538.242
25,49966.582
26,49966.582
27,53278.195
28,59318.434
29,65193.883
30,67584.75
31,68078.0
32,75161.89
33,82038.77
34,75300.41
35,65535.652
36,65535.652
37,65535.652
38,65535.652
39,70391.555
40,69457.32
41,82846.81
42,88116.62
43,139849.34
44,201322.38
45,201322.38
46,201322.38
47,852823.4
48,1252877.1
49,434177.72
50,123587.92
51,104067.57
52,107600.56
53,103821.21
54,115980.53
55,126017.17
56,107975.49
57,88677.85
58,90094.81
59,85229.414
60,76316.51
61,54153.695
62,54153.695
63,55828.895
64,82645.97
65,124087.586
66,125731.45
67,136705.95
68,172437.25
69,141099.33
70,98104.19
71,92244.234
72,105715.52
73,121999.03
74,122575.516
75,122623.414
76,122623.414
77,122623.414
78,122623.414
79,122623.414
80,110143.06
81,65974.46
82,28057.115
83,27362.049
84,27362.049
85,27362.049
86,31754.865
87,43951.055
88,45314.145
89,45314.145
90,45314.145
91,47715.438
92,51098.344
93,72861.664
94,120997.586
95,120997.586
96,120997.586
97,120997.586
98,121044.445
99,120997.586
100,120992.97
101,93173.62
102,83665.58
103,93768.33
104,93768.33
105,93768.33
106,93768.33
107,93768.33
108,93768.33
109,93768.33
110,55906.47
111,32752.32
112,3479.2424
113,13242.852
114,22780.672
115,24853.621
116,31961.402
117,32421.104
118,32421.104
119,32421.104
120,32421.104
121,32421.76
122,32444.965
123,39813.184
124,49739.812
125,54138.566
126,57988.363
127,62847.043
128,67910.26
129,68078.0
130,68078.0
131,72710.31
132,70479.5
133,64948.2
134,63137.816
135,66291.02
136,65538.16
137,65523.62
138,65534.023
139,65535.652
140,72029.445
141,87677.59
142,90580.625
143,91121.35
144,117841.875
145,138582.11
146,553446.4
147,1597286.1
148,611662.25
149,252692.48
150,243290.31
151,189784.3
152,187455.08
153,191997.23
154,205163.56
155,203773.31
156,153961.81
157,81521.64
158,88349.445
159,77990.0
160,77908.55
161,60495.35
162,54153.695
163,54153.695
164,71030.2
165,129546.12
166,135243.64
167,151085.03
168,176172.7
169,176139.3
170,162827.83
171,124112.03
172,122514.805
173,122558.11
174,123731.93
175,122623.414
176,122623.414
177,122623.414
178,122623.414
179,122623.414
180,117326.82
181,59723.74
182,27269.2
183,27362.049
184,27362.049
185,27362.049
186,36841.527
187,43972.996
188,50544.656
189,38392.613
190,38527.875
191,51076.19
192,51098.344
193,51439.652
194,92898.4
195,120997.586
196,120997.586
197,120997.586
198,120997.586
199,120997.586
200,120998.44
201,93525.56
202,90037.266
203,93769.04
204,93768.33
205,93772.85
206,93768.33
207,93768.33
208,93768.33
209,93768.33
210,70283.24
211,33486.574
212,26864.465
213,25173.738
214,23109.934
215,31172.879
216,32421.104
217,32421.104
218,32421.104
219,32421.104
220,32421.104
221,33559.47
222,38081.08
223,55010.625
224,58213.69
225,59697.42
226,61117.305
227,67416.05
228,68078.0
229,68078.0
230,68078.0
231,68097.66
232,73529.164
233,68052.336
234,68056.555
235,68060.99
236,67145.43
237,65735.57
238,72223.89
239,103378.31
240,141394.2
241,151325.16
242,108265.1
243,86085.586
244,90580.625
245,94368.65
246,694912.4
247,1002532.3
248,222357.36
249,297631.8
250,300835.5
251,260828.6
252,193240.33
253,221806.7
254,216997.27
255,205147.89
256,164211.61
257,79720.7
258,82021.58
259,77774.01
260,77994.83
261,76724.09
262,57804.707
263,54153.695
264,97163.69
265,135166.84
266,135166.84
267,150744.44
268,177117.89
269,185784.27
270,191017.77
271,159308.88
272,123653.91
273,122623.36
274,122623.414
275,122623.414
276,122623.414
277,121114.87
278,122623.414
279,122623.414
280,104790.01
281,49899.99
282,27362.049
283,27362.049
284,27362.049
285,38154.18
286,67317.32
287,32413.154
288,30886.916
289,41465.945
290,28885.28
291,37646.65
292,51013.336
293,51098.344
294,57063.6
295,110975.016
296,120997.586
297,120997.586
298,120997.586
299,121005.516
300,121089.81
301,82411.24
302,89286.46
303,91941.414
304,94462.95
305,94904.64
306,94357.664
307,93933.88
308,93790.8
309,93768.33
310,87818.99
